tipo,ubicacion,timestamp,comuna
Accidente,Calle falsa #1345,2025-05-29 17:27:12.189421,La Florida
Accidente,Calle falsa #1807,2025-05-29 17:53:19.189421,La Florida
Accidente,Calle falsa #2466,2025-05-29 18:25:11.189421,La Florida
Accidente,Calle falsa #1248,2025-05-29 18:32:40.189421,La Florida
Accidente,Calle falsa #1542,2025-05-29 18:56:47.189421,La Florida
Accidente,Calle falsa #2067,2025-05-29 19:10:50.189421,La Florida
Accidente,Calle falsa #213,2025-05-29 19:17:54.189421,La Florida
Accidente,Calle falsa #2472,2025-05-29 19:25:45.189421,La Florida
Accidente,Calle falsa #1638,2025-05-29 19:46:35.189421,La Florida
Accidente,Calle falsa #2466,2025-05-29 19:53:39.189421,La Florida
Accidente,Calle falsa #2880,2025-05-29 20:03:56.189421,La Florida
Accidente,Calle falsa #471,2025-05-29 20:11:19.189421,La Florida
Accidente,Calle falsa #2383,2025-05-29 20:24:50.189421,La Florida
Accidente,Calle falsa #2405,2025-05-29 20:31:07.189421,La Florida
Accidente,Calle falsa #445,2025-05-29 20:38:10.189421,La Florida
Accidente,Calle falsa #1314,2025-05-29 20:58:20.189421,La Florida
Accidente,Calle falsa #2348,2025-05-29 21:05:34.189421,La Florida
Accidente,Calle falsa #2347,2025-05-29 21:15:39.189421,La Florida
Accidente,Calle falsa #229,2025-05-29 21:21:43.189421,La Florida
Accidente,Calle falsa #2770,2025-05-29 21:38:38.189421,La Florida
Accidente,Calle falsa #633,2025-05-29 22:08:56.189421,La Florida
Accidente,Calle falsa #2090,2025-05-29 22:15:16.189421,La Florida
Accidente,Calle falsa #1856,2025-05-29 22:24:42.189421,La Florida
Accidente,Calle falsa #309,2025-05-29 22:38:48.189421,La Florida
Accidente,Calle falsa #2806,2025-05-29 22:56:28.189421,La Florida
Accidente,Calle falsa #2368,2025-05-29 23:28:05.189421,La Florida
Accidente,Calle falsa #2364,2025-05-29 23:48:58.189421,La Florida
Accidente,Calle falsa #1356,2025-05-30 01:00:11.189421,La Florida
Accidente,Calle falsa #1997,2025-05-30 01:55:30.189421,La Florida
Accidente,Calle falsa #2932,2025-05-30 02:08:56.189421,La Florida
Accidente,Calle falsa #1399,2025-05-30 02:39:28.189421,La Florida
Accidente,Calle falsa #2213,2025-05-30 02:58:40.189421,La Florida
Accidente,Calle falsa #1508,2025-05-30 03:21:56.189421,La Florida
Accidente,Calle falsa #1929,2025-05-30 03:28:09.189421,La Florida
Accidente,Calle falsa #1737,2025-05-30 03:53:20.189421,La Florida
Accidente,Calle falsa #313,2025-05-30 04:00:41.189421,La Florida
Accidente,Calle falsa #2412,2025-05-30 04:06:36.189421,La Florida
Accidente,Calle falsa #241,2025-05-30 04:21:00.189421,La Florida
Accidente,Calle falsa #680,2025-05-30 04:31:38.189421,La Florida
Accidente,Calle falsa #2294,2025-05-30 04:56:18.189421,La Florida
Accidente,Calle falsa #77,2025-05-30 05:01:46.189421,La Florida
Accidente,Calle falsa #412,2025-05-30 05:13:40.189421,La Florida
Accidente,Calle falsa #1153,2025-05-30 05:36:38.189421,La Florida
Accidente,Calle falsa #2864,2025-05-30 05:42:01.189421,La Florida
Accidente,Calle falsa #2748,2025-05-30 05:47:55.189421,La Florida
Accidente,Calle falsa #876,2025-05-30 05:58:40.189421,La Florida
Accidente,Calle falsa #2136,2025-05-30 06:14:07.189421,La Florida
Accidente,Calle falsa #2448,2025-05-30 06:37:29.189421,La Florida
Accidente,Calle falsa #2298,2025-05-30 06:48:36.189421,La Florida
Accidente,Calle falsa #2102,2025-05-30 06:55:28.189421,La Florida
Accidente,Calle falsa #649,2025-05-30 07:33:47.189421,La Florida
Accidente,Calle falsa #2536,2025-05-30 07:45:48.189421,La Florida
Accidente,Calle falsa #207,2025-05-30 07:50:50.189421,La Florida
Accidente,Calle falsa #163,2025-05-30 07:56:54.189421,La Florida
Accidente,Calle falsa #860,2025-05-30 08:21:40.189421,La Florida
Accidente,Calle falsa #1292,2025-05-30 08:37:14.189421,La Florida
Accidente,Calle falsa #2313,2025-05-30 08:54:50.189421,La Florida
Accidente,Calle falsa #618,2025-05-30 09:01:15.189421,La Florida
Accidente,Calle falsa #1314,2025-05-30 09:07:26.189421,La Florida
Accidente,Calle falsa #177,2025-05-30 09:39:09.189421,La Florida
Accidente,Calle falsa #1177,2025-05-30 09:47:23.189421,La Florida
Accidente,Calle falsa #1529,2025-05-30 10:01:32.189421,La Florida
Accidente,Calle falsa #166,2025-05-30 10:18:32.189421,La Florida
Accidente,Calle falsa #313,2025-05-30 10:29:48.189421,La Florida
Accidente,Calle falsa #1646,2025-05-30 11:22:45.189421,La Florida
Accidente,Calle falsa #1913,2025-05-30 11:29:33.189421,La Florida
Accidente,Calle falsa #2194,2025-05-30 11:35:38.189421,La Florida
Accidente,Calle falsa #2082,2025-05-30 11:52:53.189421,La Florida
Accidente,Calle falsa #2849,2025-05-30 11:58:13.189421,La Florida
Accidente,Calle falsa #74,2025-05-30 12:13:08.189421,La Florida
Accidente,Calle falsa #1963,2025-05-30 12:56:12.189421,La Florida
Accidente,Calle falsa #2796,2025-05-30 13:02:53.189421,La Florida
Accidente,Calle falsa #264,2025-05-30 13:14:14.189421,La Florida
Accidente,Calle falsa #1580,2025-05-30 13:19:45.189421,La Florida
Accidente,Calle falsa #1716,2025-05-30 13:28:56.189421,La Florida
Accidente,Calle falsa #2351,2025-05-30 13:41:54.189421,La Florida
Accidente,Calle falsa #528,2025-05-30 14:02:37.189421,La Florida
Accidente,Calle falsa #1566,2025-05-30 14:15:14.189421,La Florida
Accidente,Calle falsa #187,2025-05-30 14:22:16.189421,La Florida
Accidente,Calle falsa #253,2025-05-30 14:30:39.189421,La Florida
Accidente,Calle falsa #2559,2025-05-30 14:48:30.189421,La Florida
Accidente,Calle falsa #2834,2025-05-30 15:06:25.189421,La Florida
Accidente,Calle falsa #2952,2025-05-30 15:27:37.189421,La Florida
Accidente,Calle falsa #2217,2025-05-30 15:42:39.189421,La Florida
Accidente,Calle falsa #2900,2025-05-30 15:48:53.189421,La Florida
Accidente,Calle falsa #1960,2025-05-30 16:02:02.189421,La Florida
Accidente,Calle falsa #2144,2025-05-30 16:13:43.189421,La Florida
Accidente,Calle falsa #499,2025-05-30 16:21:55.189421,La Florida
Accidente,Calle falsa #1713,2025-05-30 16:30:18.189421,La Florida
Accidente,Calle falsa #588,2025-05-30 16:36:05.189421,La Florida
Accidente,Calle falsa #2124,2025-05-30 16:41:32.189421,La Florida
Accidente,Calle falsa #337,2025-05-30 16:48:25.189421,La Florida
Accidente,Calle falsa #89,2025-05-30 17:56:03.189421,La Florida
Accidente,Calle falsa #2383,2025-05-30 18:12:27.189421,La Florida
Accidente,Calle falsa #745,2025-05-30 18:30:32.189421,La Florida
Accidente,Calle falsa #500,2025-05-30 18:37:32.189421,La Florida
Accidente,Calle falsa #1596,2025-05-30 19:01:19.189421,La Florida
Accidente,Calle falsa #605,2025-05-30 19:33:36.189421,La Florida
Accidente,Calle falsa #1093,2025-05-30 19:51:41.189421,La Florida
Accidente,Calle falsa #2105,2025-05-30 20:26:23.189421,La Florida
Accidente,Calle falsa #863,2025-05-30 21:00:02.189421,La Florida
Accidente,Calle falsa #1680,2025-05-30 21:07:41.189421,La Florida
Accidente,Calle falsa #2428,2025-05-30 21:33:58.189421,La Florida
Accidente,Calle falsa #1314,2025-05-30 22:02:06.189421,La Florida
Accidente,Calle falsa #2506,2025-05-30 22:16:50.189421,La Florida
Accidente,Calle falsa #1729,2025-05-30 22:22:19.189421,La Florida
Accidente,Calle falsa #2003,2025-05-30 22:32:49.189421,La Florida
Accidente,Calle falsa #1724,2025-05-30 22:41:03.189421,La Florida
Accidente,Calle falsa #244,2025-05-30 23:00:44.189421,La Florida
Accidente,Calle falsa #569,2025-05-30 23:16:22.189421,La Florida
Accidente,Calle falsa #1427,2025-05-30 23:36:55.189421,La Florida
Accidente,Calle falsa #2604,2025-05-30 23:52:39.189421,La Florida
Accidente,Calle falsa #1650,2025-05-31 00:21:47.189421,La Florida
Accidente,Calle falsa #1227,2025-05-31 01:42:39.189421,La Florida
Accidente,Calle falsa #189,2025-05-31 02:19:11.189421,La Florida
Accidente,Calle falsa #1128,2025-05-31 02:28:00.189421,La Florida
Accidente,Calle falsa #2721,2025-05-31 02:53:39.189421,La Florida
Accidente,Calle falsa #1752,2025-05-31 03:08:06.189421,La Florida
Accidente,Calle falsa #808,2025-05-31 03:35:26.189421,La Florida
Accidente,Calle falsa #2587,2025-05-31 03:54:30.189421,La Florida
Accidente,Calle falsa #2591,2025-05-31 04:28:18.189421,La Florida
Accidente,Calle falsa #254,2025-05-31 04:34:35.189421,La Florida
Accidente,Calle falsa #23,2025-05-31 04:54:17.189421,La Florida
Accidente,Calle falsa #1312,2025-05-31 05:00:51.189421,La Florida
Accidente,Calle falsa #120,2025-05-31 05:13:25.189421,La Florida
Accidente,Calle falsa #1725,2025-05-31 05:31:39.189421,La Florida
Accidente,Calle falsa #214,2025-05-31 05:39:10.189421,La Florida
Accidente,Calle falsa #2628,2025-05-31 05:45:26.189421,La Florida
Accidente,Calle falsa #1087,2025-05-31 05:53:17.189421,La Florida
Accidente,Calle falsa #516,2025-05-31 06:07:56.189421,La Florida
Accidente,Calle falsa #2278,2025-05-31 06:23:58.189421,La Florida
Accidente,Calle falsa #1372,2025-05-31 06:30:30.189421,La Florida
Accidente,Calle falsa #623,2025-05-31 06:44:37.189421,La Florida
Accidente,Calle falsa #1118,2025-05-31 06:56:45.189421,La Florida
Accidente,Calle falsa #2729,2025-05-31 07:12:33.189421,La Florida
Accidente,Calle falsa #19,2025-05-31 07:24:00.189421,La Florida
Accidente,Calle falsa #1741,2025-05-31 07:46:20.189421,La Florida
Accidente,Calle falsa #1977,2025-05-31 08:46:34.189421,La Florida
Accidente,Calle falsa #2491,2025-05-31 08:52:50.189421,La Florida
Accidente,Calle falsa #1824,2025-05-31 09:04:12.189421,La Florida
Accidente,Calle falsa #597,2025-05-31 09:15:01.189421,La Florida
Accidente,Calle falsa #2688,2025-05-31 10:01:14.189421,La Florida
Accidente,Calle falsa #2788,2025-05-31 10:09:20.189421,La Florida
Accidente,Calle falsa #861,2025-05-31 10:20:35.189421,La Florida
Accidente,Calle falsa #557,2025-05-31 10:26:57.189421,La Florida
Accidente,Calle falsa #1031,2025-05-31 10:44:48.189421,La Florida
Accidente,Calle falsa #1218,2025-05-31 11:04:07.189421,La Florida
Accidente,Calle falsa #227,2025-05-31 11:46:49.189421,La Florida
Accidente,Calle falsa #1640,2025-05-31 11:52:58.189421,La Florida
Accidente,Calle falsa #2614,2025-05-31 12:19:48.189421,La Florida
Accidente,Calle falsa #1495,2025-05-31 12:34:30.189421,La Florida
Accidente,Calle falsa #1736,2025-05-31 12:40:39.189421,La Florida
Accidente,Calle falsa #1448,2025-05-31 12:47:57.189421,La Florida
Accidente,Calle falsa #686,2025-05-31 13:02:45.189421,La Florida
Accidente,Calle falsa #152,2025-05-31 13:09:49.189421,La Florida
Accidente,Calle falsa #2207,2025-05-31 13:43:17.189421,La Florida
Accidente,Calle falsa #2883,2025-05-31 13:49:48.189421,La Florida
Accidente,Calle falsa #2720,2025-05-31 13:54:58.189421,La Florida
Accidente,Calle falsa #96,2025-05-31 14:05:21.189421,La Florida
Accidente,Calle falsa #2697,2025-05-31 14:40:14.189421,La Florida
Accidente,Calle falsa #2526,2025-05-31 15:01:52.189421,La Florida
