tipo,ubicacion,timestamp,comuna
Corte,Calle falsa #416,2025-05-30T07:35:08.189421,Macul
Atasco,Calle falsa #907,2025-06-01T15:28:57.189421,Maipú
Atasco,Calle falsa #828,2025-06-01T20:01:57.189421,Ñuñoa
Corte,Calle falsa #2943,2025-05-29T22:30:17.189421,La Florida
Accidente,Calle falsa #1312,2025-05-31T05:00:51.189421,La Florida
Corte,Calle falsa #1253,2025-06-02T13:57:31.189421,Maipú
Policía,Calle falsa #1185,2025-05-30T17:30:13.189421,Las Condes
Corte,Calle falsa #26,2025-05-31T00:42:30.189421,Las Condes
Accidente,Calle falsa #5,2025-06-03T16:16:26.189421,Santiago
Corte,Calle falsa #1663,2025-05-30T17:16:10.189421,Macul
Accidente,Calle falsa #1259,2025-05-31T09:38:42.189421,Las Condes
Bache,Calle falsa #2758,2025-06-01T17:44:11.189421,Las Condes
Accidente,Calle falsa #1816,2025-05-31T02:12:29.189421,Las Condes
Bache,Calle falsa #2899,2025-05-31T02:31:15.189421,Providencia
Corte,Calle falsa #692,2025-06-01T15:21:10.189421,Macul
Bache,Calle falsa #862,2025-06-01T19:18:28.189421,La Florida
Accidente,Calle falsa #1745,2025-06-03T03:35:17.189421,Las Condes
Policía,Calle falsa #380,2025-06-03T14:23:31.189421,Macul
Atasco,Calle falsa #474,2025-06-02T20:08:05.189421,Macul
Atasco,Calle falsa #952,2025-06-02T00:20:58.189421,Ñuñoa
Accidente,Calle falsa #1011,2025-05-31T15:26:29.189421,Macul
Corte,Calle falsa #1024,2025-06-02T18:14:17.189421,Providencia
Policía,Calle falsa #57,2025-06-01T23:41:05.189421,La Florida
Corte,Calle falsa #1075,2025-06-01T19:17:29.189421,Las Condes
Bache,Calle falsa #374,2025-05-31T21:04:12.189421,Santiago
Detención,Calle falsa #2902,2025-06-02T22:09:20.189421,Santiago
Bache,Calle falsa #287,2025-06-03T02:06:00.189421,Macul
Atasco,Calle falsa #2364,2025-05-30T08:34:14.189421,Santiago
Atasco,Calle falsa #1669,2025-05-31T17:15:24.189421,Puente Alto
Accidente,Calle falsa #1064,2025-06-02T16:22:37.189421,Las Condes
Policía,Calle falsa #696,2025-05-31T01:25:10.189421,La Florida
Atasco,Calle falsa #275,2025-06-01T22:16:58.189421,Macul
Policía,Calle falsa #749,2025-06-01T03:20:30.189421,Las Condes
Policía,Calle falsa #1638,2025-06-01T17:39:44.189421,Providencia
Policía,Calle falsa #1471,2025-06-02T22:42:56.189421,Las Condes
Corte,Calle falsa #2625,2025-06-02T16:54:42.189421,Providencia
Policía,Calle falsa #249,2025-05-31T22:56:14.189421,Macul
Corte,Calle falsa #831,2025-05-29T23:08:48.189421,La Florida
Policía,Calle falsa #1249,2025-06-03T16:25:29.189421,Puente Alto
Corte,Calle falsa #422,2025-05-31T06:32:58.189421,Santiago
Accidente,Calle falsa #139,2025-06-02T19:15:35.189421,La Florida
Accidente,Calle falsa #938,2025-06-02T02:39:55.189421,Puente Alto
Policía,Calle falsa #267,2025-05-31T03:25:37.189421,Ñuñoa
Policía,Calle falsa #686,2025-06-02T17:25:16.189421,Providencia
Policía,Calle falsa #999,2025-05-29T22:00:19.189421,La Florida
Atasco,Calle falsa #707,2025-06-02T02:11:02.189421,Puente Alto
Policía,Calle falsa #2476,2025-05-31T09:39:10.189421,La Florida
Corte,Calle falsa #184,2025-05-31T05:13:50.189421,Ñuñoa
Detención,Calle falsa #1386,2025-05-30T12:08:08.189421,Maipú
Policía,Calle falsa #303,2025-06-01T13:27:26.189421,Maipú
Policía,Calle falsa #2496,2025-06-02T23:12:09.189421,Puente Alto
Accidente,Calle falsa #2970,2025-05-29T20:12:06.189421,Providencia
Policía,Calle falsa #2634,2025-05-30T02:35:45.189421,La Florida
Corte,Calle falsa #534,2025-06-03T15:06:38.189421,La Florida
Accidente,Calle falsa #430,2025-06-01T13:49:24.189421,Providencia
Policía,Calle falsa #927,2025-05-30T15:59:30.189421,Ñuñoa
Policía,Calle falsa #2296,2025-05-30T12:53:16.189421,Puente Alto
Detención,Calle falsa #2360,2025-06-01T14:23:29.189421,Maipú
Accidente,Calle falsa #231,2025-06-02T03:44:36.189421,Las Condes
Policía,Calle falsa #2283,2025-06-01T22:21:02.189421,Ñuñoa
Accidente,Calle falsa #1721,2025-06-01T17:28:19.189421,Providencia
Atasco,Calle falsa #2325,2025-05-31T09:35:58.189421,Macul
Policía,Calle falsa #2075,2025-06-03T06:45:10.189421,Las Condes
Policía,Calle falsa #1051,2025-06-02T06:07:52.189421,Macul
Accidente,Calle falsa #1710,2025-05-31T05:14:59.189421,Ñuñoa
Detención,Calle falsa #809,2025-05-30T17:48:44.189421,Macul
Detención,Calle falsa #253,2025-05-30T07:30:50.189421,Maipú
Accidente,Calle falsa #1774,2025-06-01T09:19:30.189421,Maipú
Detención,Calle falsa #1382,2025-06-02T13:24:07.189421,Maipú
Policía,Calle falsa #754,2025-05-31T15:44:21.189421,Santiago
Policía,Calle falsa #2360,2025-06-02T02:05:07.189421,Macul
Policía,Calle falsa #913,2025-05-31T20:40:30.189421,Puente Alto
Accidente,Calle falsa #1430,2025-05-31T18:27:18.189421,Ñuñoa
Bache,Calle falsa #498,2025-06-02T21:44:54.189421,Macul
Policía,Calle falsa #993,2025-05-31T10:34:59.189421,Santiago
Atasco,Calle falsa #2134,2025-05-31T12:39:21.189421,Santiago
Policía,Calle falsa #2086,2025-05-31T10:42:53.189421,Macul
Accidente,Calle falsa #1007,2025-06-02T05:51:30.189421,Las Condes
Accidente,Calle falsa #1979,2025-06-02T03:53:12.189421,Macul
Accidente,Calle falsa #1235,2025-06-01T12:02:09.189421,Las Condes
Bache,Calle falsa #1589,2025-06-01T21:52:34.189421,Puente Alto
Accidente,Calle falsa #2038,2025-06-01T00:34:57.189421,Providencia
Policía,Calle falsa #244,2025-05-31T18:28:23.189421,Puente Alto
Atasco,Calle falsa #659,2025-06-01T19:29:43.189421,Las Condes
Accidente,Calle falsa #282,2025-06-02T15:54:53.189421,Las Condes
Accidente,Calle falsa #1041,2025-05-30T01:12:00.189421,Las Condes
Accidente,Calle falsa #799,2025-06-02T08:05:29.189421,Ñuñoa
Atasco,Calle falsa #1647,2025-06-03T03:35:49.189421,Puente Alto
Accidente,Calle falsa #2344,2025-06-02T22:10:13.189421,Ñuñoa
